species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_CP002810_1_Isoptericola_variabilis_225__complete_genome_BAC,3307740,24,73.88773,7.25571,701.95964,212.22036,3.01233
1_CP014859_1_Actinoalloteichus_hymeniacidonis_strain_HPA177_T____DSM_45092_T____complete_genome_BAC,6306386,45,68.07634,7.13562,1316.17432,208.70049,2.96248
1_CP025430_1_Paracoccus_zhejiangensis_strain_J6_chromosome__complete_genome_BAC,3985112,28,65.76666,7.02615,818.95291,205.50459,2.91703
1_CP016076_1_Actinoalloteichus_sp__ADI127_7_chromosome__complete_genome_BAC,7120854,50,70.08742,7.02163,1462.41591,205.37255,2.91515
1_CP018171_1_Mesorhizobium_oceanicum_strain_B7__complete_genome_BAC,5158483,36,65.19473,6.97880,1052.93946,204.11635,2.89737
1_CP022048_2_Brevundimonas_vesicularis_strain_FDAARGOS_289_chromosome__complete_genome_BAC,3345527,23,66.06786,6.87484,672.71132,201.08411,2.85421
1_CP014475_1_Mycobacterium_phlei_strain_CCUG_21000__complete_genome_BAC,5349645,36,69.43960,6.72942,1052.93946,196.82887,2.79384
1_CP012398_1_Chelatococcus_sp__CO_6__complete_genome_BAC,4394046,29,68.66464,6.59983,848.20123,193.03734,2.74004
1_CP002343_1_Intrasporangium_calvum_DSM_43043__complete_genome_BAC,4024382,26,70.70365,6.46062,760.45627,188.96722,2.68224
1_AP012057_1_Ilumatobacter_coccineus_YM16_304_DNA__complete_genome_BAC,4830181,31,67.29245,6.41798,906.69786,187.71951,2.66454
1_CP011341_1_Rhodococcus_aetherivorans_strain_IcdP1__complete_genome_BAC,5922748,38,70.61936,6.41594,1111.43609,187.65432,2.66369
1_FQ859185_1_Streptomyces_cattleya_str__NRRL_8057_main_chromosome__complete_genome_BAC,6283062,40,72.93993,6.36632,1169.93273,186.20240,2.64309
1_CP000820_1_Frankia_sp__EAN1pec__complete_genome_BAC,8982042,57,71.15360,6.34600,1667.15414,185.60729,2.63465
1_CP019066_1_Tsukamurella_tyrosinosolvens_strain_MH1_chromosome__complete_genome_BAC,4922396,31,71.12045,6.29774,906.69786,184.19489,2.61462
1_CP002329_1_Mycobacterium_sinense_strain_JDM601__complete_genome_BAC,4643668,29,68.37222,6.24506,848.20123,182.65415,2.59274
1_CP002801_1_Frankia_symbiont_of_Datisca_glomerata__complete_genome_BAC,5323186,33,70.03665,6.19929,965.19450,181.31868,2.57374
1_CP000521_1_Acinetobacter_baumannii_ATCC_17978__complete_genome_BAC,3976747,24,38.94083,6.03508,701.95964,176.52251,2.50557
1_CP006272_1_Actinoplanes_friuliensis_DSM_7358__complete_genome_BAC,9376071,56,70.35508,5.97265,1637.90582,174.68884,2.47965
1_CP013979_1_Agromyces_aureus_strain_AR33__complete_genome_BAC,4373124,26,70.39252,5.94541,760.45627,173.88978,2.46834
1_1_1_6,170805979,996,39.60525,5.83118,29131.32495,170.55203,2.42091
1_CP001814_1_Streptosporangium_roseum_DSM_43021__complete_genome_BAC,10341314,60,70.86660,5.80197,1754.89909,169.69766,2.40879
1_1_1_7,159345973,921,40.69748,5.77988,26937.70108,169.05162,2.39962
1_CP011112_1_Luteipulveratus_mongoliensis_strain_MN07_A0370_genome_BAC,5420910,31,68.23871,5.71860,906.69786,167.26017,2.37417
1_CP000431_1_Rhodococcus_jostii_RHA1__complete_genome_BAC,7804765,44,67.51583,5.63759,1286.92600,164.89282,2.34054
1_1_1_8,145138636,816,40.15660,5.62221,23866.62767,164.44021,2.33416
1_CP023564_1_Brachybacterium_ginsengisoli_strain_DCY80_chromosome__complete_genome_BAC,3953253,22,71.56749,5.56504,643.46300,162.77005,2.31042
1_CP000750_2_Kineococcus_radiotolerans_SRS30216__complete_genome_BAC,4761183,26,74.43503,5.46083,760.45627,159.72478,2.26716
1_CP002299_1_Frankia_inefficax_strain_EuI1c_chromosome__complete_genome_BAC,8815781,48,72.31400,5.44478,1403.91927,159.25152,2.26050
1_CP002638_1_Verrucosispora_maris_AB_18_032__complete_genome_BAC,6673976,36,70.85453,5.39408,1052.93946,157.77018,2.23945
1_1_1_5,181538259,976,39.50632,5.37628,28546.35858,157.24714,2.23205
1_CP000774_1_Parvibaculum_lavamentivorans_DS_1__complete_genome_BAC,3914745,21,62.32810,5.36434,614.21468,156.89204,2.22710
1_1_1_2,242193529,1299,40.22856,5.36348,37993.56537,156.87269,2.22674
1_AP012319_1_Actinoplanes_missouriensis_431_DNA__complete_genome_BAC,8773466,47,70.82308,5.35706,1374.67096,156.68756,2.22408
1_1_1_11,135086622,720,41.53981,5.32991,21058.78912,155.89106,2.21281
1_1_1_4,190214555,1012,38.24347,5.32031,29599.29804,155.60995,2.20882
1_1_1_3,198295559,1054,39.66567,5.31530,30827.72741,155.46342,2.20674
1_CP000656_1_Mycobacterium_gilvum_PYR_GCK__complete_genome_BAC,5619607,29,67.91662,5.16050,848.20123,150.93947,2.14247
1_1_1_12,133275309,682,40.76639,5.11723,19947.35303,149.67037,2.12451
1_CP000781_1_Xanthobacter_autotrophicus_Py2__complete_genome_BAC,5308934,27,67.46469,5.08577,789.70459,148.75213,2.11145
1_1_1_10,133797422,663,41.54154,4.95525,19391.63498,144.93292,2.05726
1_CT573213_2_Frankia_alni_str__ACN14A_chromosome__complete_sequence_BAC,7497934,37,72.82809,4.93470,1082.18777,144.33392,2.04872
1_1_1_20,64444167,317,43.80472,4.91899,9271.71688,143.87183,2.04220
1_CP008953_1_Amycolatopsis_japonica_strain_MG417_CF17__complete_genome_BAC,8961318,43,68.89200,4.79840,1257.67768,140.34401,1.99214
1_1_1_18,80373285,385,39.77558,4.79015,11260.60252,140.10393,1.98871
1_CP023449_1_Rhizorhabdus_dicambivorans_strain_Ndbn_20_chromosome__complete_genome_BAC,5026772,24,65.53299,4.77444,701.95964,139.64043,1.98219
1_CP003959_1_Serratia_marcescens_WW4__complete_genome_BAC,5241455,25,59.55434,4.76966,731.20796,139.50114,1.98021
1_CP016294_1_Stenotrophomonas_rhizophila_strain_QL_P4__complete_genome_BAC,4198652,20,66.84855,4.76344,584.96636,139.32428,1.97762
1_1_1_14,107043718,509,40.83421,4.75507,14887.39397,139.07788,1.97415
1_1_1_17,83257441,387,45.31519,4.64823,11319.09915,135.95309,1.92979
1_CP012661_1_Defluviimonas_alba_strain_cai42_chromosome__complete_genome_BAC,4738298,22,66.71231,4.64302,643.46300,135.80247,1.92763
1_1_1_13,114364328,529,38.55031,4.62557,15472.36034,135.28997,1.92038
1_CP000249_1_Frankia_casuarinae_strain_CcI3_chromosome__complete_genome_BAC,5433628,25,70.07881,4.60098,731.20796,134.56777,1.91017
1_CP000850_1_Salinispora_arenicola_CNS_205__complete_genome_BAC,5786361,26,69.51853,4.49333,760.45627,131.41933,1.86548
1_1_1_19,58617616,263,47.93865,4.48671,7692.30769,131.22836,1.86273
1_CP003053_1_Mycobacterium_chubuense_NBB4__complete_genome_BAC,5583723,25,68.68570,4.47730,731.20796,130.95176,1.85883
1_CP015005_1_Aminobacter_aminovorans_strain_KCTC_2477__complete_genome_BAC,5623946,25,63.44835,4.44527,731.20796,130.01872,1.84553
1_CP023778_1_Nocardia_terpenica_strain_NC_YFY_NT001_chromosome__complete_genome_BAC,8847159,39,68.47104,4.40819,1140.68441,128.93414,1.83014
1_1_1_1,248956422,1094,41.72429,4.39434,31997.66013,128.52715,1.82439
1_CP003410_1_Amycolatopsis_keratiniphila_strain_HCCB10007__complete_genome_BAC,8948591,39,69.00626,4.35823,1140.68441,127.47181,1.80939
1_AP011115_1_Rhodococcus_opacus_B4_DNA__complete_genome_BAC,7913450,34,67.89480,4.29648,994.44282,125.66529,1.78376
1_1_1_9,138394717,585,41.27617,4.22704,17110.26616,123.63369,1.75493
1_CP001802_1_Gordonia_bronchialis_DSM_43247__complete_genome_BAC,5208602,22,67.07241,4.22378,643.46300,123.53998,1.75358
1_CP006850_1_Nocardia_nova_SH22a__complete_genome_BAC,8348532,35,67.77019,4.19235,1023.69114,122.61771,1.74053
1_FN563149_1_Rhodococcus_equi_103S_chromosome_BAC,5043170,21,68.82485,4.16405,614.21468,121.78855,1.72878
1_AP008957_1_Rhodococcus_erythropolis_PR4_DNA__complete_genome_BAC,6516310,27,62.31376,4.14345,789.70459,121.19036,1.72022
1_1_1_16,90338345,368,44.58444,4.07357,10763.38111,119.14513,1.69122
1_CP003876_1_Nocardia_brasiliensis_ATCC_700358__complete_genome_BAC,9436348,38,68.04708,4.02698,1111.43609,117.78198,1.67187
1_CP025394_1_Kitasatospora_sp__MMS16_BH015_chromosome__complete_genome_BAC,9006053,36,72.46726,3.99731,1052.93946,116.91348,1.65955
1_1_1_21,46709983,182,40.93836,3.89638,5323.19392,113.96297,1.61765
1_CP003170_1_Actinoplanes_sp__SE50_110__complete_genome_BAC,9239851,36,71.31723,3.89617,1052.93946,113.95651,1.61756
1_1_1_X,156040895,604,39.52503,3.87078,17665.98421,113.21377,1.60702
1_CP000667_1_Salinispora_tropica_CNB_440__complete_genome_BAC,5183331,20,69.46101,3.85852,584.96636,112.85408,1.60193
1_CP000384_1_Mycobacterium_sp__MCS__complete_genome_BAC,5705448,22,68.45342,3.85596,643.46300,112.78003,1.60087
1_CP001700_1_Catenulispora_acidiphila_DSM_44928__complete_genome_BAC,10467782,40,69.76708,3.82125,1169.93273,111.76619,1.58646
1_CP000511_1_Mycobacterium_vanbaalenii_PYR_1__complete_genome_BAC,6491865,24,67.79312,3.69694,701.95964,108.12759,1.53485
1_1_1_15,101991189,377,42.03484,3.69640,11026.61597,108.11338,1.53462
1_AP012204_1_Microlunatus_phosphovorus_NM_1_DNA__complete_genome_BAC,5683123,21,67.26754,3.69515,614.21468,108.07473,1.53411
1_CP023445_1_Actinosynnema_pretiosum_strain_X47_chromosome__complete_genome_BAC,8131572,30,73.90621,3.68932,877.44955,107.90591,1.53169
1_CP011491_1_Mycobacterium_vaccae_95051__complete_genome_BAC,6235754,23,68.58635,3.68841,672.71132,107.87992,1.53131
1_CP016594_1_Gordonia_terrae_strain_3612_chromosome__complete_genome_BAC,5701501,21,67.81051,3.68324,614.21468,107.73098,1.52916
1_CP017839_1_Nocardia_seriolae_strain_EM150506__complete_genome_BAC,8304518,29,68.08028,3.49207,848.20123,102.13785,1.44980
1_CP016616_1_Microvirga_ossetica_strain_V5_3M_chromosome__complete_genome_BAC,5843140,20,63.49297,3.42282,584.96636,100.11012,1.42104
1_CP009922_3_Streptomyces_xiamenensis_strain_318__complete_genome_BAC,5961402,20,72.02262,3.35492,584.96636,98.12580,1.39285
1_CP021112_1_Pseudorhodoplanes_sinuspersici_strain_RIPI110_chromosome__complete_genome_BAC,5971615,20,60.31568,3.34917,584.96636,97.95758,1.39047
1_CP023202_1_Streptomyces_xinghaiensis_S187_chromosome__complete_genome_BAC,7137891,23,73.13751,3.22224,672.71132,94.24684,1.33777
1_CP017316_1_Streptomyces_rubrolavendulae_strain_MJM4426__complete_genome_BAC,6543262,21,74.78434,3.20941,614.21468,93.87153,1.33244
1_CP007574_1_Streptomyces_albulus_strain_NK660__complete_genome_BAC,9360281,29,72.32035,3.09820,848.20123,90.61650,1.28627
1_CP020567_1_Kitasatospora_aureofaciens_strain_DM_1_chromosome__complete_genome_BAC,6824334,21,72.62171,3.07723,614.21468,90.00514,1.27756
1_1_1_22,50818468,155,47.00445,3.05007,4533.48932,89.20966,1.26629
1_CP021748_1_Streptomyces_alboflavus_strain_MDJK44__complete_genome_BAC,9622415,29,72.08902,3.01379,848.20123,88.14858,1.25123
1_AP010968_1_Kitasatospora_setae_KM_6054_DNA__complete_genome_BAC,8783278,25,74.19750,2.84632,731.20796,83.25008,1.18170
1_CP007440_1_Rhodoplanes_sp__Z2_YC6860__complete_genome_BAC,8193889,23,63.52644,2.80697,672.71132,82.09888,1.16536
1_CP018082_1_Nocardia_soli_strain_Y48_chromosome__complete_genome_BAC,7310115,20,68.08643,2.73593,584.96636,80.02241,1.13587
1_CP011533_1_Streptomyces_noursei_ATCC_11455__complete_genome_BAC,9815884,26,71.45302,2.64877,760.45627,77.47087,1.09968
1_CP020809_1_Mycobacterium_dioxanotrophicus_strain_PH_06_chromosome__complete_genome_BAC,7595921,20,66.52834,2.63299,584.96636,77.01194,1.09313
1_CP016438_1_Streptomyces_lincolnensis_strain_NRRL_2936__complete_genome_BAC,10319054,27,71.01042,2.61652,789.70459,76.52844,1.08629
1_CP012382_1_Streptomyces_ambofaciens_ATCC_23877__complete_genome_BAC,8303940,21,72.22024,2.52892,614.21468,73.96710,1.04992
1_CP010407_1_Streptomyces_vietnamensis_strain_GIM4_0001__complete_genome_BAC,8867142,22,72.08920,2.48107,643.46300,72.56655,1.03006
1_CP001630_1_Actinosynnema_mirum_DSM_43827__complete_genome_BAC,8248144,20,73.70887,2.42479,584.96636,70.92199,1.00669
1_CP010519_1_Streptomyces_albus_strain_DSM_41398__complete_genome_BAC,8384669,20,72.64432,2.38531,584.96636,69.76663,0.99030
1_LN881739_1_Streptomyces_venezuelae_genome_assembly_Streptomyces_venezuelae_ATCC_15439__chromosome___I_BAC,9034396,21,71.74536,2.32445,614.21468,67.98537,0.96504
1_CP002047_1_Streptomyces_bingchenggensis_BCW_1__complete_genome_BAC,11936683,25,70.75459,2.09438,731.20796,61.25649,0.86952
1_CP002994_1_Streptomyces_violaceusniger_Tu_4113_chromosome__complete_genome_BAC,10657107,22,70.96927,2.06435,643.46300,60.37819,0.85705
