species	chr_length	gc_ref	Umwelt2_1_S20_R1	Umwelt2_2_S21_R1	Umwelt2_3_S93_R1	Umwelt2_4_S94_R1	Umwelt2_5_S95_R1
1_CP000509_1_Nocardioides_sp__JS614__complete_genome_BAC	4985871.0	71.65	410.63	442.25	783.35	1024.52	686.62
1_FO203431_1_Modestobacter_marinus_str__BC501_chromosome__complete_genome_BAC	5575517.0	74.13	697.69	560.28	0.0	0.0	261.99
1_CP003364_1_Singulisphaera_acidiphila_DSM_18658__complete_genome_BAC	9629675.0	62.27	0.0	194.64	788.04	0.0	611.49
1_CP007155_1_Kutzneria_albida_DSM_43870__complete_genome_BAC	9874926.0	70.6	716.78	0.0	0.0	0.0	0.0
1_CP000250_1_Rhodopseudomonas_palustris_HaA2__complete_genome_BAC	5331656.0	66.04	0.0	179.22	1737.13	889.5	873.29
1_CP009896_1_Pimelobacter_simplex_strain_VKM_Ac_2033D__complete_genome_BAC	5637360.0	72.85	300.92	384.64	1128.27	0.0	453.44
1_CP029425_1_Bradyrhizobium_ottawaense_strain_OO99_chromosome__complete_genome_BAC	8606328.0	63.83	0.0	0.0	1556.02	487.49	424.31
1_AM746676_1_Sorangium_cellulosum_'So_ce_56'_complete_genome_BAC	13033779.0	71.38	0.0	73.31	299.66	489.85	437.78
1_BA000040_2_Bradyrhizobium_diazoefficiens_USDA_110_DNA__complete_genome_BAC	9105828.0	64.06	0.0	0.0	808.82	701.12	561.46
1_CP016211_1_Minicystis_rosea_strain_DSM_24000__complete_genome_BAC	16040666.0	69.1	0.0	66.44	306.11	329.81	295.96
1_CP017420_1_Delftia_tsuruhatensis_strain_CM13__complete_genome_BAC	7195716.0	66.33	467.44	449.44	0.0	0.0	0.0
1_HE804045_1_Saccharothrix_espanaensis_DSM_44229_complete_genome_BAC	9360653.0	72.19	528.06	0.0	0.0	0.0	156.05
1_CP016353_1_Prauserella_marina_strain_DSM_45268_chromosome__complete_genome_BAC	6851918.0	67.59	811.03	0.0	0.0	0.0	0.0
1_CP015079_1_Nocardioides_dokdonensis_FR1436__complete_genome_BAC	4376707.0	72.26	347.5	445.04	968.89	0.0	469.34
1_CP000494_1_Bradyrhizobium_sp__BTAi1__complete_genome_BAC	8264687.0	64.92	0.0	0.0	796.65	529.68	563.38
1_CP011270_1_Planctomyces_sp__SH_PL14__complete_genome_BAC	8442773.0	65.56	0.0	130.59	449.38	432.15	529.84
1_CP012752_1_Kibdelosporangium_phytohabitans_strain_KLBMP1111__complete_genome_BAC	11759770.0	68.44	380.53	0.0	0.0	0.0	112.57
1_CP024894_1_Amycolatopsis_sp__AA4_chromosome__complete_genome_BAC	8800179.0	69.75	598.25	0.0	0.0	0.0	0.0
1_CP000747_1_Phenylobacterium_zucineum_HLK1__complete_genome_BAC	3996255.0	71.35	0.0	0.0	2345.71	912.83	856.65
1_CP001804_1_Haliangium_ochraceum_DSM_14365__complete_genome_BAC	9446314.0	69.48	0.0	101.16	354.4	811.12	391.42
1_CP000245_1_Ramlibacter_tataouinensis_TTB310__complete_genome_BAC	4070193.0	70.0	0.0	451.47	1233.89	0.0	942.02
1_CP010827_1_Corynebacterium_singulare_strain_IBS_B52218__complete_genome_BAC	2830519.0	60.12	1518.91	402.49	0.0	0.0	0.0
1_CP016793_1_Lentzea_guizhouensis_strain_DHS_C013_chromosome__complete_genome_BAC	9997872.0	70.01	400.78	0.0	0.0	0.0	178.07
1_CP000473_1_Candidatus_Solibacter_usitatus_Ellin6076_chromosome__complete_genome_BAC	9965640.0	61.9	0.0	103.26	313.55	732.2	361.85
1_AP012320_1_Rubrivivax_gelatinosus_IL144_DNA__complete_genome_BAC	5043253.0	71.24	0.0	393.5	597.48	759.49	597.39
1_CP012333_1_Labilithrix_luteola_strain_DSM_27648__complete_genome_BAC	12191466.0	66.14	0.0	90.43	311.21	389.05	288.3
1_CP017717_1_Nonomuraea_sp__ATCC_55076_chromosome__complete_genome_BAC	13047416.0	71.81	260.04	0.0	0.0	0.0	178.43
1_CP001736_1_Kribbella_flavida_DSM_17836__complete_genome_BAC	7579488.0	70.57	374.32	0.0	309.19	0.0	271.02
1_CP015118_1_Rhizobacter_gummiphilus_strain_NS21__complete_genome_BAC	6398096.0	69.72	0.0	114.88	1325.66	0.0	463.76
1_AP012603_1_Bradyrhizobium_oligotrophicum_S58_DNA__complete_genome_BAC	8264165.0	65.13	0.0	0.0	715.64	0.0	552.36
1_CP001867_1_Geodermatophilus_obscurus_DSM_43160__complete_genome_BAC	5322497.0	73.98	456.09	276.19	0.0	0.0	248.71
1_CP010350_1_Acinetobacter_johnsonii_XBB1__complete_genome_BAC	3509795.0	41.43	691.67	722.51	0.0	0.0	0.0
1_CP023284_1_Variovorax_boronicumulans_strain_J1_chromosome__complete_genome_BAC	7137898.0	68.01	0.0	200.8	984.99	0.0	300.57
1_FO117623_1_Blastococcus_saxobsidens_DD2_complete_genome_BAC	4875340.0	72.95	563.92	233.68	0.0	0.0	224.72
1_CP002026_1_Starkeya_novella_DSM_506__complete_genome_BAC	4765023.0	67.88	257.8	0.0	562.06	0.0	785.52
1_CP006272_1_Actinoplanes_friuliensis_DSM_7358__complete_genome_BAC	9376071.0	70.36	174.69	0.0	357.06	0.0	301.85
1_CP011502_1_Aeromicrobium_erythreum_strain_AR18__complete_genome_BAC	3629239.0	72.14	217.6	627.85	799.51	0.0	389.89
1_CP000319_1_Nitrobacter_hamburgensis_X14__complete_genome_BAC	4406967.0	61.71	0.0	0.0	1215.5	869.21	673.3
1_CP016294_1_Stenotrophomonas_rhizophila_strain_QL_P4__complete_genome_BAC	4198652.0	66.85	139.32	0.0	2977.14	0.0	0.0
1_CP013290_1_Janibacter_indicus_strain_YFY001__complete_genome_BAC	3401189.0	71.24	627.74	367.37	0.0	0.0	335.53
1_CP020382_1_Rhodothermaceae_bacterium_RA_chromosome__complete_genome_BAC	4653222.0	68.26	590.86	0.0	0.0	0.0	362.96
1_AE004091_2_Pseudomonas_aeruginosa_PAO1__complete_genome_BAC	6264404.0	66.56	247.46	422.41	0.0	0.0	0.0
1_AP014946_1_Variibacter_gotjawalensis_DNA__complete_genome_BAC	4586237.0	62.23	0.0	0.0	900.24	0.0	865.93
1_CP015318_1_Mesorhizobium_amorphae_CCNWGS0123__complete_genome_BAC	6268270.0	63.44	0.0	0.0	587.5	698.49	473.35
1_CP001683_1_Saccharomonospora_viridis_DSM_43017__complete_genome_BAC	4308349.0	67.32	821.45	0.0	0.0	0.0	0.0
1_CP011509_1_Archangium_gephyra_strain_DSM_2261__complete_genome_BAC	12489432.0	69.45	0.0	0.0	232.31	365.12	237.56
1_CP017147_1_Bosea_vaviloviae_strain_Vaf18_chromosome__complete_genome_BAC	6373793.0	65.55	0.0	0.0	490.2	0.0	623.08
1_CP022752_1_Actinopolyspora_erythraea_strain_YIM_90600_chromosome__complete_genome_BAC	5243930.0	68.78	635.84	0.0	0.0	0.0	0.0
1_CP018171_1_Mesorhizobium_oceanicum_strain_B7__complete_genome_BAC	5158483.0	65.19	204.12	0.0	475.88	0.0	442.44
1_CP017480_1_Luteibacter_rhizovicinus_DSM_16549_strain_LJ96T_chromosome__complete_genome_BAC	4765486.0	64.72	0.0	0.0	2529.27	0.0	0.0
1_CP016617_1_Microvirga_sp__V5_3M_plasmid_unnamed1__complete_sequence_BAC	1343367.0	61.59	0.0	0.0	2823.92	0.0	2480.46
1_CP042170_1_Flavobacterium_sp__KBS0721_chromosome__complete_genome_BAC	5867608.0	34.13	0.0	0.0	2015.98	0.0	0.0
1_CP000251_1_Anaeromyxobacter_dehalogenans_2CP_C__complete_genome_BAC	5013479.0	74.91	0.0	249.23	0.0	946.14	418.83
1_CP012605_1_Ralstonia_insidiosa_strain_FC1138_chromosome_1__complete_sequence_BAC	3968071.0	63.61	744.45	0.0	0.0	0.0	0.0
1_CP014030_2_Citrobacter_sp__FDAARGOS_156_strain_FDAARGOS_155_chromosome__complete_genome_BAC	4727498.0	51.93	216.54	513.06	0.0	0.0	0.0
1_CP019038_1_Massilia_putida_strain_6NM_7T_chromosome__complete_genome_BAC	6987670.0	65.56	0.0	226.16	479.08	0.0	176.38
1_CP001635_1_Variovorax_paradoxus_S110_chromosome_1__complete_sequence_BAC	5626353.0	67.63	0.0	156.77	476.0	0.0	421.87
1_CP006704_1_Comamonas_testosteroni_TK102__complete_genome_BAC	6062703.0	61.87	265.34	266.72	0.0	0.0	0.0
1_CP000555_1_Methylibium_petroleiphilum_PM1__complete_genome_BAC	4044195.0	69.2	0.0	299.89	579.47	0.0	462.75
1_CP002299_1_Frankia_inefficax_strain_EuI1c_chromosome__complete_genome_BAC	8815781.0	72.31	159.25	0.0	0.0	0.0	243.36
1_CP000769_1_Anaeromyxobacter_sp__Fw109_5__complete_genome_BAC	5277990.0	73.53	0.0	160.16	0.0	725.89	432.45
1_CP001013_1_Leptothrix_cholodnii_SP_6__complete_genome_BAC	4909403.0	68.9	0.0	239.56	0.0	0.0	567.18
1_AP009152_1_Kocuria_rhizophila_DC2201_DNA__complete_genome_BAC	2697540.0	71.16	737.29	340.6	0.0	0.0	0.0
1_CP001814_1_Streptosporangium_roseum_DSM_43021__complete_genome_BAC	10341314.0	70.87	169.7	0.0	0.0	0.0	141.25
1_AE003852_1_Vibrio_cholerae_O1_biovar_eltor_str__N16961_chromosome_I__complete_sequence_BAC	2961149.0	47.69	385.22	645.4	0.0	0.0	0.0
1_CP012946_1_Blastochloris_viridis_strain_ATCC_19567__complete_genome_BAC	3724841.0	67.93	0.0	0.0	748.95	1175.32	502.45
1_CP016174_1_Amycolatopsis_orientalis_strain_B_37__complete_genome_BAC	9490992.0	68.83	274.27	0.0	0.0	0.0	0.0
1_CP013979_1_Agromyces_aureus_strain_AR33__complete_genome_BAC	4373124.0	70.39	173.89	0.0	0.0	0.0	657.62
1_AP012319_1_Actinoplanes_missouriensis_431_DNA__complete_genome_BAC	8773466.0	70.82	156.69	0.0	0.0	0.0	213.32
1_CP000699_1_Sphingomonas_wittichii_RW1__complete_genome_BAC	5382261.0	68.4	0.0	0.0	912.3	0.0	373.17
1_CP015005_1_Aminobacter_aminovorans_strain_KCTC_2477__complete_genome_BAC	5623946.0	63.45	130.02	0.0	0.0	0.0	470.78
1_CP012159_1_Chondromyces_crocatus_strain_Cm_c5__complete_genome_BAC	11388132.0	68.71	0.0	0.0	0.0	336.38	240.5
1_AP012204_1_Microlunatus_phosphovorus_NM_1_DNA__complete_genome_BAC	5683123.0	67.27	108.07	0.0	647.95	0.0	208.84
1_CP011514_1_Mitsuaria_sp__7__complete_genome_BAC	5822419.0	68.34	0.0	126.24	421.7	0.0	258.72
1_CP022521_1_Actinoalloteichus_hoggarensis_strain_DSM_45943_chromosome__complete_genome_BAC	6606717.0	71.15	327.61	0.0	0.0	0.0	0.0
1_CP022961_1_Plantactinospora_sp__KBS50_chromosome__complete_genome_BAC	6689726.0	72.91	314.8	0.0	0.0	0.0	0.0
1_CP011300_1_Devosia_sp__H5989__complete_genome_BAC	4594249.0	64.79	0.0	0.0	704.4	0.0	427.22
1_CP004036_1_Sphingomonas_sp__MM_1__complete_genome_BAC	4054833.0	67.17	0.0	0.0	825.54	0.0	461.56
1_CP014301_1_Bosea_sp__PAMC_26642__complete_genome_BAC	5503156.0	65.16	0.0	0.0	446.16	0.0	398.14
1_CP021106_3_Nitrosospira_lacus_strain_APG3__complete_genome_BAC	3261088.0	53.64	0.0	247.94	0.0	2684.56	0.0
1_CP001196_1_Oligotropha_carboxidovorans_OM5_strain_OM5__complete_genome_BAC	3745629.0	62.4	0.0	0.0	804.53	0.0	511.82
1_CP003470_1_Rhodanobacter_denitrificans_strain_2APBS1__complete_genome_BAC	4225490.0	67.45	0.0	0.0	1135.76	0.0	270.07
1_AP014630_1_Acinetobacter_guillouiae_DNA__complete_geonome__strain__NBRC_110550_BAC	4648418.0	38.28	239.1	237.19	0.0	0.0	0.0
1_AP014704_1_Methylobacterium_aquaticum_DNA__complete_genome__strain__MA_22A_BAC	5348274.0	71.11	0.0	0.0	479.87	0.0	384.09
1_CP006644_1_Sphingomonas_sanxanigenens_NX02__complete_genome_BAC	6205897.0	66.78	0.0	0.0	503.51	0.0	286.87
1_CP015401_2_Bacteroides_caecimuris_strain_I48_chromosome__complete_genome_BAC	4839927.0	42.61	0.0	0.0	1544.85	0.0	0.0
1_CP000489_1_Paracoccus_denitrificans_PD1222_chromosome_1__complete_sequence_BAC	2852282.0	66.71	297.37	476.74	0.0	0.0	0.0
1_AP014936_1_Sulfurifustis_variabilis_DNA__complete_genome__strain__skN76_BAC	3958814.0	67.46	214.26	0.0	0.0	0.0	426.61
1_CP001032_1_Opitutus_terrae_PB90_1__complete_genome_BAC	5957605.0	65.34	0.0	0.0	374.6	0.0	344.8
1_CP001618_1_Beutenbergia_cavernae_DSM_12333__complete_genome_BAC	4669183.0	73.12	225.51	0.0	0.0	0.0	273.73
1_CP011371_1_[Polyangium]_brachysporum_strain_DSM_7029__complete_genome_BAC	6476147.0	67.51	0.0	124.84	0.0	0.0	289.0
1_CP010836_1_Sphingomonas_hengshuiensis_strain_WHSC_8__complete_genome_BAC	5191536.0	66.7	0.0	0.0	666.38	0.0	281.37
1_CP001737_1_Nakamurella_multipartita_DSM_44233_chromosome__complete_genome_BAC	6060298.0	70.92	299.23	0.0	0.0	0.0	0.0
1_HG916826_1_Pseudomonas_pseudoalcaligenes_CECT_5344_complete_genome_BAC	4686340.0	62.34	230.92	196.05	0.0	0.0	0.0
1_CP014168_1_Sphingomonas_panacis_strain_DCY99__complete_genome_BAC	5003808.0	65.66	0.0	0.0	468.33	0.0	374.02
1_CP017311_1_Hydrogenophaga_sp__PBC__complete_genome_BAC	5232477.0	68.39	0.0	154.52	0.0	0.0	340.23
1_CP016889_1_Pantoea_agglomerans_strain_C410P1_chromosome__complete_genome_BAC	4182028.0	55.54	426.63	0.0	0.0	0.0	0.0
1_CP001700_1_Catenulispora_acidiphila_DSM_44928__complete_genome_BAC	10467782.0	69.77	111.77	0.0	0.0	0.0	91.58
1_CP001848_1_Pirellula_staleyi_DSM_6068__complete_genome_BAC	6196199.0	57.46	0.0	0.0	360.23	0.0	302.05
1_CP002568_1_Polymorphum_gilvum_SL003B_26A1__complete_genome_BAC	4649365.0	67.22	213.89	0.0	0.0	0.0	265.1
1_CP012398_1_Chelatococcus_sp__CO_6__complete_genome_BAC	4394046.0	68.66	193.04	0.0	0.0	0.0	322.04
1_CP025430_1_Paracoccus_zhejiangensis_strain_J6_chromosome__complete_genome_BAC	3985112.0	65.77	205.5	295.12	0.0	0.0	0.0
1_CT573213_2_Frankia_alni_str__ACN14A_chromosome__complete_sequence_BAC	7497934.0	72.83	144.33	0.0	0.0	0.0	133.93
1_CP024201_1_Caulobacter_mirabilis_strain_FWC_38_chromosome__complete_genome_BAC	4577265.0	69.32	0.0	0.0	487.57	0.0	388.95
1_CP003876_1_Nocardia_brasiliensis_ATCC_700358__complete_genome_BAC	9436348.0	68.05	117.78	0.0	0.0	0.0	96.75
1_CP000820_1_Frankia_sp__EAN1pec__complete_genome_BAC	8982042.0	71.15	185.61	0.0	0.0	0.0	0.0
1_BA000012_4_Mesorhizobium_loti_MAFF303099_DNA__complete_genome_BAC	7036071.0	62.75	0.0	0.0	364.79	0.0	214.09
1_AM236080_1_Rhizobium_leguminosarum_bv__viciae_chromosome_complete_genome__strain_3841_BAC	5057142.0	61.09	0.0	0.0	485.44	0.0	306.89
1_CP003170_1_Actinoplanes_sp__SE50_110__complete_genome_BAC	9239851.0	71.32	113.96	0.0	0.0	0.0	98.8
1_CP000943_1_Methylobacterium_sp__4_46__complete_genome_BAC	7659055.0	71.58	0.0	0.0	0.0	0.0	333.75
1_CP000927_1_Caulobacter_sp__K31__complete_genome_BAC	5477872.0	67.46	0.0	0.0	692.61	0.0	183.33
1_CP018820_1_Sphingomonas_koreensis_strain_ABOJV_chromosome__complete_genome_BAC	4508286.0	66.11	0.0	0.0	544.55	0.0	334.14
1_CP023449_1_Rhizorhabdus_dicambivorans_strain_Ndbn_20_chromosome__complete_genome_BAC	5026772.0	65.53	139.64	0.0	0.0	0.0	281.51
1_AE008922_1_Xanthomonas_campestris_pv__campestris_str__ATCC_33913__complete_genome_BAC	5076188.0	65.07	311.15	0.0	0.0	0.0	0.0
1_CP009571_1_Sphingomonas_taxi_strain_ATCC_55669__complete_genome_BAC	3859099.0	68.0	0.0	0.0	896.47	0.0	272.06
1_CP019041_1_Acinetobacter_junii_strain_65__complete_genome_BAC	3378307.0	38.64	225.11	304.61	0.0	0.0	0.0
1_CP012507_1_Kocuria_palustris_strain_MU14_1__complete_genome_BAC	2854447.0	70.5	276.67	347.62	0.0	0.0	0.0
1_CP022753_1_Nocardiopsis_gilva_YIM_90087_chromosome__complete_genome_BAC	6142152.0	69.65	257.14	0.0	0.0	0.0	0.0
1_CP011130_1_Lysobacter_capsici_strain_55__complete_genome_BAC	6391889.0	66.62	0.0	0.0	925.28	0.0	0.0
1_CP002040_1_Nocardiopsis_dassonvillei_subsp__dassonvillei_DSM_43111_chromosome_1__complete_sequence_BAC	5767958.0	72.83	268.75	0.0	0.0	0.0	0.0
1_AP006618_1_Nocardia_farcinica_IFM_10152_DNA__complete_genome_BAC	6021225.0	70.83	252.59	0.0	0.0	0.0	0.0
1_CP000159_1_Salinibacter_ruber_DSM_13855__complete_genome_BAC	3551823.0	66.22	419.96	0.0	0.0	0.0	0.0
1_CP001349_1_Methylobacterium_nodulans_ORS_2060__complete_genome_BAC	7772460.0	68.86	0.0	0.0	0.0	0.0	299.52
1_CP000781_1_Xanthobacter_autotrophicus_Py2__complete_genome_BAC	5308934.0	67.46	148.75	0.0	0.0	0.0	206.36
1_CP011801_1_Nitrospira_moscoviensis_strain_NSP_M_1__complete_genome_BAC	4589485.0	61.99	0.0	208.2	0.0	993.64	0.0
1_CP001738_1_Thermomonospora_curvata_DSM_43183__complete_genome_BAC	5639016.0	71.64	259.34	0.0	0.0	0.0	0.0
1_CP016076_1_Actinoalloteichus_sp__ADI127_7_chromosome__complete_genome_BAC	7120854.0	70.09	205.37	0.0	0.0	0.0	0.0
1_CP000685_1_Flavobacterium_johnsoniae_UW101__complete_genome_BAC	6096872.0	34.11	0.0	0.0	896.94	0.0	0.0
1_CP002343_1_Intrasporangium_calvum_DSM_43043__complete_genome_BAC	4024382.0	70.7	188.97	0.0	0.0	0.0	260.89
1_CP001874_1_Thermobispora_bispora_DSM_43833__complete_genome_BAC	4189976.0	72.43	335.06	0.0	0.0	0.0	0.0
1_FP929003_1_Candidatus_Nitrospira_defluvii_chromosome__complete_genome_BAC	4317083.0	59.03	0.0	408.61	0.0	0.0	0.0
1_CP021237_1_Sphingobacteriaceae_bacterium_GW460_11_11_14_LB5_chromosome__complete_genome_BAC	6182066.0	39.18	0.0	0.0	866.43	0.0	0.0
1_CP003178_1_Niastella_koreensis_GR20_10__complete_genome_BAC	9033684.0	44.87	0.0	0.0	592.96	0.0	0.0
1_CP003959_1_Serratia_marcescens_WW4__complete_genome_BAC	5241455.0	59.55	139.5	154.26	0.0	0.0	0.0
1_CP001807_1_Rhodothermus_marinus_DSM_4252__complete_genome_BAC	3261604.0	64.54	412.52	0.0	0.0	0.0	0.0
1_CP000386_1_Rubrobacter_xylanophilus_DSM_9941__complete_genome_BAC	3225748.0	70.48	0.0	0.0	0.0	0.0	636.76
1_CP014859_1_Actinoalloteichus_hymeniacidonis_strain_HPA177_T____DSM_45092_T____complete_genome_BAC	6306386.0	68.08	208.7	0.0	0.0	0.0	0.0
1_CP001281_2_Thauera_sp__MZ1T__complete_genome_BAC	4496212.0	68.4	0.0	196.17	0.0	0.0	203.05
1_CP000431_1_Rhodococcus_jostii_RHA1__complete_genome_BAC	7804765.0	67.52	164.89	0.0	0.0	0.0	0.0
1_CP008953_1_Amycolatopsis_japonica_strain_MG417_CF17__complete_genome_BAC	8961318.0	68.89	140.34	0.0	0.0	0.0	0.0
1_CP002279_1_Mesorhizobium_opportunistum_WSM2075__complete_genome_BAC	6884444.0	62.87	0.0	0.0	0.0	0.0	285.11
1_CP016093_1_Rhizobiales_bacterium_NRL2__complete_genome_BAC	4700671.0	67.12	0.0	0.0	0.0	0.0	417.56
1_CP014989_1_Serinicoccus_sp__JLT9__complete_genome_BAC	3597394.0	72.43	341.49	0.0	0.0	0.0	0.0
1_CP000413_1_Lactobacillus_gasseri_ATCC_33323__complete_genome_BAC	1894360.0	35.26	0.0	0.0	0.0	0.0	1012.05
1_CP000115_1_Nitrobacter_winogradskyi_Nb_255__complete_genome_BAC	3402093.0	62.05	0.0	0.0	688.75	0.0	281.77
1_CP016094_1_Lacunisphaera_limnophila_strain_IG16b_chromosome__complete_genome_BAC	4199284.0	66.48	0.0	0.0	0.0	0.0	445.7
1_CP002271_1_Stigmatella_aurantiaca_DW4_3_1__complete_genome_BAC	10260756.0	67.46	0.0	0.0	0.0	0.0	182.4
1_AP012338_1_Phycisphaera_mikurensis_NBRC_102666_DNA__complete_genome_BAC	3803225.0	73.29	0.0	0.0	0.0	0.0	480.08
1_FQ859185_1_Streptomyces_cattleya_str__NRRL_8057_main_chromosome__complete_genome_BAC	6283062.0	72.94	186.2	0.0	0.0	0.0	0.0
1_CP019236_1_Rhodoferax_sp__DCY110__complete_genome_BAC	5800473.0	66.17	0.0	0.0	0.0	0.0	314.79
1_CP023778_1_Nocardia_terpenica_strain_NC_YFY_NT001_chromosome__complete_genome_BAC	8847159.0	68.47	128.93	0.0	0.0	0.0	0.0
1_CP003410_1_Amycolatopsis_keratiniphila_strain_HCCB10007__complete_genome_BAC	8948591.0	69.01	127.47	0.0	0.0	0.0	0.0
1_CP011341_1_Rhodococcus_aetherivorans_strain_IcdP1__complete_genome_BAC	5922748.0	70.62	187.65	0.0	0.0	0.0	0.0
