species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_CP009896_1_Pimelobacter_simplex_strain_VKM_Ac_2033D__complete_genome_BAC,5637360,56,72.85020,9.93373,2555.91054,453.44130,14.27660
1_CP016094_1_Lacunisphaera_limnophila_strain_IG16b_chromosome__complete_genome_BAC,4199284,41,66.47571,9.76358,1871.29165,445.70062,14.03206
1_CP018171_1_Mesorhizobium_oceanicum_strain_B7__complete_genome_BAC,5158483,50,65.19473,9.69278,2282.06298,442.43872,13.93031
1_AM746676_1_Sorangium_cellulosum_'So_ce_56'_complete_genome_BAC,13033779,125,71.37574,9.59046,5705.15746,437.78237,13.78326
1_CP000769_1_Anaeromyxobacter_sp__Fw109_5__complete_genome_BAC,5277990,50,73.53140,9.47330,2282.06298,432.45113,13.61488
1_CP011300_1_Devosia_sp__H5989__complete_genome_BAC,4594249,43,64.79227,9.35953,1962.57417,427.22305,13.45136
1_AP014936_1_Sulfurifustis_variabilis_DNA__complete_genome__strain__skN76_BAC,3958814,37,67.45874,9.34624,1688.72661,426.61132,13.43227
1_CP029425_1_Bradyrhizobium_ottawaense_strain_OO99_chromosome__complete_genome_BAC,8606328,80,63.82952,9.29548,3651.30078,424.31314,13.35932
1_CP006958_1_UNVERIFIED__Achromobacter_xylosoxidans_NBRC_15126___ATCC_27061__complete_genome_BAC,6683584,62,67.53203,9.27647,2829.75810,423.43942,13.33199
1_CP001635_1_Variovorax_paradoxus_S110_chromosome_1__complete_sequence_BAC,5626353,52,67.63394,9.24223,2373.34550,421.87246,13.28278
1_CP000251_1_Anaeromyxobacter_dehalogenans_2CP_C__complete_genome_BAC,5013479,46,74.90527,9.17526,2099.49795,418.82910,13.18654
1_CP016093_1_Rhizobiales_bacterium_NRL2__complete_genome_BAC,4700671,43,67.11672,9.14763,1962.57417,417.55681,13.14683
1_CP017940_1_Phyllobacterium_sp__Tri_48_chromosome__complete_genome_BAC,3950702,36,57.26043,9.11231,1643.08535,415.94454,13.09607
1_CP001823_1_Sphaerobacter_thermophilus_DSM_20745_chromosome_1__complete_sequence_BAC,2741033,24,68.10279,8.75583,1095.39023,399.66694,12.58375
1_CP014301_1_Bosea_sp__PAMC_26642__complete_genome_BAC,5503156,48,65.15534,8.72226,2190.78047,398.14200,12.53550
1_CP001804_1_Haliangium_ochraceum_DSM_14365__complete_genome_BAC,9446314,81,69.48339,8.57478,3696.94204,391.41780,12.32353
1_CP011502_1_Aeromicrobium_erythreum_strain_AR18__complete_genome_BAC,3629239,31,72.13777,8.54173,1414.87905,389.88806,12.27605
1_CP024201_1_Caulobacter_mirabilis_strain_FWC_38_chromosome__complete_genome_BAC,4577265,39,69.31718,8.52038,1780.00913,388.94984,12.24536
1_AP014704_1_Methylobacterium_aquaticum_DNA__complete_genome__strain__MA_22A_BAC,5348274,45,71.10672,8.41394,2053.85669,384.09013,12.09238
1_CP014168_1_Sphingomonas_panacis_strain_DCY99__complete_genome_BAC,5003808,41,65.66391,8.19376,1871.29165,374.01934,11.77594
1_CP000699_1_Sphingomonas_wittichii_RW1__complete_genome_BAC,5382261,44,68.39752,8.17500,2008.21543,373.16597,11.74899
1_CP016591_1_Altererythrobacter_dongtanensis_strain_KCTC_22672__complete_genome_BAC,3009495,24,65.75133,7.97475,1095.39023,364.02245,11.46118
1_CP020382_1_Rhodothermaceae_bacterium_RA_chromosome__complete_genome_BAC,4653222,37,68.25851,7.95148,1688.72661,362.95860,11.42775
1_CP000473_1_Candidatus_Solibacter_usitatus_Ellin6076_chromosome__complete_genome_BAC,9965640,79,61.90246,7.92724,3605.65952,361.85416,11.39290
1_CP012299_1_Microbacterium_sp__CGR1__complete_genome_BAC,3634864,28,68.03831,7.70319,1277.95527,351.62627,11.07090
1_CP015810_1_Microbacterium_chocolatum_strain_SIT_101_chromosome__complete_genome_BAC,3117902,24,69.97430,7.69749,1095.39023,351.39092,11.06271
1_CP016210_1_Azoarcus_olearius_strain_DQS4__complete_genome_BAC,4451751,34,67.83333,7.63745,1551.80283,348.64643,10.97642
1_CP001032_1_Opitutus_terrae_PB90_1__complete_genome_BAC,5957605,45,65.34114,7.55338,2053.85669,344.80116,10.85560
1_CP017311_1_Hydrogenophaga_sp__PBC__complete_genome_BAC,5232477,39,68.39174,7.45344,1780.00913,340.22507,10.71197
1_CP013290_1_Janibacter_indicus_strain_YFY001__complete_genome_BAC,3401189,25,71.24488,7.35037,1141.03149,335.52543,10.56383
1_CP018820_1_Sphingomonas_koreensis_strain_ABOJV_chromosome__complete_genome_BAC,4508286,33,66.10914,7.31985,1506.16157,334.14338,10.51997
1_CP000943_1_Methylobacterium_sp__4_46__complete_genome_BAC,7659055,56,71.58309,7.31160,2555.91054,333.75052,10.50812
1_CP007793_1_Azospirillum_brasilense_strain_Az39__complete_genome_BAC,3064393,22,68.44334,7.17924,1004.10771,327.72233,10.31790
1_CP012398_1_Chelatococcus_sp__CO_6__complete_genome_BAC,4394046,31,68.66464,7.05499,1414.87905,322.04446,10.13933
1_CP007514_1_Rubrobacter_radiotolerans_strain_RSPS_4__complete_genome_BAC,2875491,20,66.91216,6.95534,912.82519,317.51072,9.99610
1_CP019236_1_Rhodoferax_sp__DCY110__complete_genome_BAC,5800473,40,66.17355,6.89599,1825.65039,314.78713,9.91081
1_CP012332_1_Vulgatibacter_incomptus_strain_DSM_27710__complete_genome_BAC,4350553,30,68.93926,6.89568,1369.23779,314.76235,9.91036
1_AM236080_1_Rhizobium_leguminosarum_bv__viciae_chromosome_complete_genome__strain_3841_BAC,5057142,34,61.09037,6.72317,1551.80283,306.88690,9.66243
1_CP001848_1_Pirellula_staleyi_DSM_6068__complete_genome_BAC,6196199,41,57.46470,6.61696,1871.29165,302.04803,9.50979
1_CP006272_1_Actinoplanes_friuliensis_DSM_7358__complete_genome_BAC,9376071,62,70.35508,6.61258,2829.75810,301.85005,9.50349
1_CP023284_1_Variovorax_boronicumulans_strain_J1_chromosome__complete_genome_BAC,7137898,47,68.00942,6.58457,2145.13921,300.56916,9.46324
1_CP001349_1_Methylobacterium_nodulans_ORS_2060__complete_genome_BAC,7772460,51,68.85725,6.56163,2327.70424,299.52428,9.43027
1_CP015249_1_Dokdonella_koreensis_DS_123__complete_genome_BAC,4446619,29,70.34673,6.52181,1323.59653,297.71071,9.37304
1_AP009384_1_Azorhizobium_caulinodans_ORS_571_DNA__complete_genome_BAC,5369772,35,67.31902,6.51797,1597.44409,297.51785,9.36752
1_CP016211_1_Minicystis_rosea_strain_DSM_24000__complete_genome_BAC,16040666,104,69.10234,6.48352,4746.69101,295.95902,9.31801
1_CP011371_1_[Polyangium]_brachysporum_strain_DSM_7029__complete_genome_BAC,6476147,41,67.51400,6.33092,1871.29165,288.99697,9.09870
1_CP012333_1_Labilithrix_luteola_strain_DSM_27648__complete_genome_BAC,12191466,77,66.14243,6.31589,3514.37700,288.30313,9.07710
1_CP006644_1_Sphingomonas_sanxanigenens_NX02__complete_genome_BAC,6205897,39,66.78085,6.28434,1780.00913,286.87017,9.03176
1_CP002279_1_Mesorhizobium_opportunistum_WSM2075__complete_genome_BAC,6884444,43,62.86746,6.24597,1962.57417,285.10808,8.97661
1_CP012070_1_Arsenicicoccus_sp__oral_taxon_190__complete_genome_BAC,3525271,22,72.72854,6.24066,1004.10771,284.86340,8.96897
1_CP000115_1_Nitrobacter_winogradskyi_Nb_255__complete_genome_BAC,3402093,21,62.04901,6.17268,958.46645,281.76573,8.87127
1_CP023449_1_Rhizorhabdus_dicambivorans_strain_Ndbn_20_chromosome__complete_genome_BAC,5026772,31,65.53299,6.16698,1414.87905,281.51108,8.86309
1_CP010836_1_Sphingomonas_hengshuiensis_strain_WHSC_8__complete_genome_BAC,5191536,32,66.69791,6.16387,1460.52031,281.36815,8.85862
1_CP016460_1_Blastomonas_sp__RAC04_chromosome__complete_genome_BAC,3982627,24,64.33974,6.02617,1095.39023,275.07163,8.66072
1_CP001618_1_Beutenbergia_cavernae_DSM_12333__complete_genome_BAC,4669183,28,73.11658,5.99677,1277.95527,273.73155,8.61846
1_CP009571_1_Sphingomonas_taxi_strain_ATCC_55669__complete_genome_BAC,3859099,23,68.00149,5.95994,1049.74897,272.06056,8.56553
1_CP001736_1_Kribbella_flavida_DSM_17836__complete_genome_BAC,7579488,45,70.56791,5.93707,2053.85669,271.01903,8.53267
1_CP003470_1_Rhodanobacter_denitrificans_strain_2APBS1__complete_genome_BAC,4225490,25,67.45426,5.91647,1141.03149,270.06590,8.50306
1_AP006840_1_Symbiobacterium_thermophilum_IAM_14863_DNA__complete_genome_BAC,3566135,21,68.66840,5.88872,958.46645,268.81720,8.46318
1_CP002568_1_Polymorphum_gilvum_SL003B_26A1__complete_genome_BAC,4649365,27,67.21817,5.80724,1232.31401,265.09573,8.34607
1_CP002083_1_Hyphomicrobium_denitrificans_ATCC_51888__complete_genome_BAC,3638969,21,60.81242,5.77086,958.46645,263.42198,8.29379
1_FO203431_1_Modestobacter_marinus_str__BC501_chromosome__complete_genome_BAC,5575517,32,74.13113,5.73937,1460.52031,261.99443,8.24854
1_CP002343_1_Intrasporangium_calvum_DSM_43043__complete_genome_BAC,4024382,23,70.70365,5.71517,1049.74897,260.88929,8.21375
1_CP011514_1_Mitsuaria_sp__7__complete_genome_BAC,5822419,33,68.34467,5.66775,1506.16157,258.72207,8.14560
1_CP000248_1_Novosphingobium_aromaticivorans_DSM_12444__complete_genome_BAC,3561584,20,65.15281,5.61549,912.82519,256.34453,8.07049
1_CP001867_1_Geodermatophilus_obscurus_DSM_43160__complete_genome_BAC,5322497,29,73.98411,5.44857,1323.59653,248.71355,7.83060
1_CP002593_1_Pseudonocardia_dioxanivorans_CB1190__complete_genome_BAC,7096571,38,73.30953,5.35470,1734.36787,244.43587,7.69569
1_CP002299_1_Frankia_inefficax_strain_EuI1c_chromosome__complete_genome_BAC,8815781,47,72.31400,5.33135,2145.13921,243.35940,7.66213
1_CP014517_1_Variovorax_sp__PAMC_28711__complete_genome_BAC,4316152,23,65.97346,5.32882,1049.74897,243.25754,7.65850
1_HE956757_1_Methylocystis_sp__SC2_complete_genome_BAC,3773444,20,63.35480,5.30020,912.82519,241.95500,7.61737
1_AP012052_1_Microbacterium_testaceum_StLB037_DNA__complete_genome_BAC,3982034,21,70.27841,5.27369,958.46645,240.74286,7.57927
1_CP012159_1_Chondromyces_crocatus_strain_Cm_c5__complete_genome_BAC,11388132,60,68.70910,5.26864,2738.47558,240.50024,7.57201
1_CP011509_1_Archangium_gephyra_strain_DSM_2261__complete_genome_BAC,12489432,65,69.44877,5.20440,2966.68188,237.56442,7.47968
1_CP002353_1_Isosphaera_pallida_ATCC_43644__complete_genome_BAC,5472964,28,62.44408,5.11606,1277.95527,233.52794,7.35272
1_AP009153_1_Gemmatimonas_aurantiaca_T_27_DNA__complete_genome_BAC,4636964,23,64.27436,4.96015,1049.74897,226.42252,7.12864
1_CP020715_1_Cnuibacter_physcomitrellae_strain_XA_T__chromosome__complete_genome_BAC,4061502,20,71.08267,4.92429,912.82519,224.76961,7.07711
1_FO117623_1_Blastococcus_saxobsidens_DD2_complete_genome_BAC,4875340,24,72.94800,4.92273,1095.39023,224.71910,7.07488
1_CP015880_1_Ensifer_adhaerens_strain_Casida_A_chromosome__complete_genome_BAC,4071185,20,62.82704,4.91258,912.82519,224.24039,7.06028
1_CP010989_1_Pseudonocardia_sp__EC080625_04__complete_genome_BAC,6135769,30,73.83637,4.88936,1369.23779,223.18107,7.02691
1_CP023737_1_Methylosinus_trichosporium_OB3b_chromosome__complete_genome_BAC,4508832,22,66.02655,4.87931,1004.10771,222.73970,7.01247
1_AP014940_1_Lysobacter_enzymogenes_DNA__complete_genome__strain__M497_1_BAC,6096022,29,69.36356,4.75720,1323.59653,217.14714,6.83698
1_BA000012_4_Mesorhizobium_loti_MAFF303099_DNA__complete_genome_BAC,7036071,33,62.74706,4.69012,1506.16157,214.09109,6.74056
1_CP003358_1_Mesorhizobium_australicum_WSM2073__complete_genome_BAC,6200534,29,62.84365,4.67702,1323.59653,213.48645,6.72174
1_AP012319_1_Actinoplanes_missouriensis_431_DNA__complete_genome_BAC,8773466,41,70.82308,4.67318,1871.29165,213.31946,6.71622
1_AP012204_1_Microlunatus_phosphovorus_NM_1_DNA__complete_genome_BAC,5683123,26,67.26754,4.57495,1186.67275,208.83534,6.57505
1_CP000781_1_Xanthobacter_autotrophicus_Py2__complete_genome_BAC,5308934,24,67.46469,4.52068,1095.39023,206.36285,6.49706
1_CP001281_2_Thauera_sp__MZ1T__complete_genome_BAC,4496212,20,68.40420,4.44819,912.82519,203.04569,6.39287
1_CP009122_1_Sphingopyxis_fribergensis_strain_Kp5_2__complete_genome_BAC,4993584,22,63.85298,4.40566,1004.10771,201.11528,6.33174
1_CP001715_1_Candidatus_Accumulibacter_phosphatis_clade_IIA_str__UW_1__complete_genome_BAC,5058518,22,64.11095,4.34910,1004.10771,198.52012,6.25046
1_CP001001_1_Methylobacterium_radiotolerans_JCM_2831__complete_genome_BAC,6077833,26,71.50208,4.27784,1186.67275,195.26849,6.14805
1_CP015736_1_Shinella_sp__HZN7__complete_genome_BAC,4678597,20,65.23819,4.27478,912.82519,195.14099,6.14365
1_CP012700_1_Sphingopyxis_macrogoltabida_strain_EY_1__complete_genome_BAC,4757879,20,64.89137,4.20355,912.82519,191.88333,6.04128
1_CP000542_1_Verminephrobacter_eiseniae_EF01_2__complete_genome_BAC,5566749,23,65.27909,4.13167,1049.74897,188.60189,5.93798
1_CP000360_1_Candidatus_Koribacter_versatilis_Ellin345__complete_genome_BAC,5650368,23,58.38384,4.07053,1049.74897,185.81354,5.85010
1_CP000927_1_Caulobacter_sp__K31__complete_genome_BAC,5477872,22,67.46330,4.01616,1004.10771,183.33333,5.77196
1_CP002271_1_Stigmatella_aurantiaca_DW4_3_1__complete_genome_BAC,10260756,41,67.45865,3.99581,1871.29165,182.40057,5.74271
1_CP017717_1_Nonomuraea_sp__ATCC_55076_chromosome__complete_genome_BAC,13047416,51,71.80866,3.90882,2327.70424,178.42774,5.61769
1_CP016793_1_Lentzea_guizhouensis_strain_DHS_C013_chromosome__complete_genome_BAC,9997872,39,70.00561,3.90083,1780.00913,178.06593,5.60621
1_CP009110_1_Amycolatopsis_methanolica_239__complete_genome_BAC,7237391,28,71.52720,3.86880,1277.95527,176.60044,5.56018
1_CP019038_1_Massilia_putida_strain_6NM_7T_chromosome__complete_genome_BAC,6987670,27,65.55516,3.86395,1232.31401,176.37836,5.55321
1_CP011131_1_Lysobacter_gummosus_strain_3_2_11__complete_genome_BAC,6056618,23,66.53385,3.79750,1049.74897,173.34941,5.45770
1_AM420293_1_Saccharopolyspora_erythraea_NRRL2338_complete_genome_BAC,8212805,29,71.14596,3.53107,1323.59653,161.18275,5.07480
1_HE804045_1_Saccharothrix_espanaensis_DSM_44229_complete_genome_BAC,9360653,32,72.19006,3.41857,1460.52031,156.05189,4.91311
1_CP001814_1_Streptosporangium_roseum_DSM_43021__complete_genome_BAC,10341314,32,70.86660,3.09439,1460.52031,141.24917,4.44720
1_CP022098_1_Cystobacter_fuscus_strain_DSM_52655_chromosome__complete_genome_BAC,12349744,38,68.48676,3.07699,1734.36787,140.45463,4.42220
1_CP003389_1_Corallococcus_coralloides_DSM_2259__complete_genome_BAC,10080619,31,69.89693,3.07521,1414.87905,140.37312,4.41964
1_CP020370_1_Candidatus_Thiodictyon_syntrophicum_strain_Cad16T_chromosome__complete_genome_BAC,6837296,21,66.27507,3.07139,958.46645,140.20563,4.41415
1_CT573213_2_Frankia_alni_str__ACN14A_chromosome__complete_sequence_BAC,7497934,22,72.82809,2.93414,1004.10771,133.93401,4.21690
1_CP006003_1_Myxococcus_fulvus_124B02__complete_genome_BAC,11048835,31,69.96270,2.80572,1414.87905,128.07271,4.03234
1_CP024985_1_Streptomyces_lavendulae_subsp__lavendulae_strain_CCM_3239_chromosome__complete_genome_BAC,8691711,23,72.63201,2.64620,1049.74897,120.79198,3.80308
1_CP002000_1_Amycolatopsis_mediterranei_U32__complete_genome_BAC,10236715,27,71.29279,2.63756,1232.31401,120.39597,3.79067
1_CP012752_1_Kibdelosporangium_phytohabitans_strain_KLBMP1111__complete_genome_BAC,11759770,29,68.44155,2.46603,1323.59653,112.56890,3.54415
1_CP017641_1_Fuerstia_marisgermanicae_strain_NH11_chromosome__complete_genome_BAC,8920478,21,55.90051,2.35413,958.46645,107.46085,3.38332
1_CP004025_1_Myxococcus_stipitatus_DSM_14675__complete_genome_BAC,10350586,23,69.19218,2.22210,1049.74897,101.43330,3.19356
1_CP003170_1_Actinoplanes_sp__SE50_110__complete_genome_BAC,9239851,20,71.31723,2.16454,912.82519,98.80447,3.11084
1_CP003876_1_Nocardia_brasiliensis_ATCC_700358__complete_genome_BAC,9436348,20,68.04708,2.11946,912.82519,96.74923,3.04606
1_CP001700_1_Catenulispora_acidiphila_DSM_44928__complete_genome_BAC,10467782,21,69.76708,2.00616,958.46645,91.57509,2.88322
1_1_1_20,64444167,117,43.80472,1.81552,5340.02738,82.87410,2.60924
1_1_1_12,133275309,220,40.76639,1.65072,10041.07713,75.35124,2.37239
1_1_1_5,181538259,297,39.50632,1.63602,13555.45413,74.68016,2.35126
1_1_1_18,80373285,131,39.77558,1.62989,5979.00502,74.40054,2.34246
1_1_1_8,145138636,225,40.15660,1.55024,10269.28343,70.76473,2.22798
1_1_1_2,242193529,373,40.22856,1.54009,17024.18987,70.30135,2.21339
1_1_1_3,198295559,305,39.66567,1.53811,13920.58421,70.21082,2.21054
1_1_1_11,135086622,205,41.53981,1.51754,9356.45824,69.27220,2.18099
1_1_1_10,133797422,202,41.54154,1.50975,9219.53446,68.91611,2.16978
1_1_1_21,46709983,70,40.93836,1.49861,3194.88818,68.40747,2.15378
1_1_1_4,190214555,279,38.24347,1.46676,12733.91146,66.95416,2.10801
1_1_1_7,159345973,227,40.69748,1.42457,10360.56595,65.02826,2.04737
1_1_1_19,58617616,83,47.93865,1.41596,3788.22455,64.63470,2.03499
1_1_1_1,248956422,332,41.72429,1.33357,15152.89822,60.87398,1.91658
1_1_1_6,170805979,226,39.60525,1.32314,10314.92469,60.39793,1.90159
1_1_1_16,90338345,116,44.58444,1.28406,5294.38613,58.61428,1.84543
1_1_1_14,107043718,137,40.83421,1.27985,6252.85258,58.42193,1.83938
1_1_1_9,138394717,176,41.27617,1.27172,8032.86171,58.05113,1.82770
1_1_1_17,83257441,104,45.31519,1.24914,4746.69101,57.02004,1.79524
1_1_1_X,156040895,190,39.52503,1.21763,8671.83934,55.58172,1.74996
1_1_1_13,114364328,137,38.55031,1.19793,6252.85258,54.68232,1.72164
1_1_1_22,50818468,55,47.00445,1.08228,2510.26928,49.40356,1.55544
1_1_1_15,101991189,99,42.03484,0.97067,4518.48471,44.30878,1.39503
