species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_CP001111_1_Stenotrophomonas_maltophilia_R551_3__complete_genome_BAC,4573969,27,66.29990,5.90297,3013.39286,658.69724,115.29205
1_AP012204_1_Microlunatus_phosphovorus_NM_1_DNA__complete_genome_BAC,5683123,33,67.26754,5.80667,3683.03571,647.94816,113.41122
1_CP023344_1_Nibricoccus_aquaticus_strain_HZ_65_chromosome__complete_genome_BAC,4730447,26,62.24985,5.49631,2901.78571,613.35221,107.34944
1_AP012320_1_Rubrivivax_gelatinosus_IL144_DNA__complete_genome_BAC,5043253,27,71.24314,5.35369,3013.39286,597.47732,104.56399
1_CP003178_1_Niastella_koreensis_GR20_10__complete_genome_BAC,9033684,48,44.86975,5.31345,5357.14286,592.95862,103.77803
1_CP016907_1_Flavobacterium_anhuiense_strain_GSE09__complete_genome_BAC,5109718,27,34.32185,5.28405,3013.39286,589.64839,103.20377
1_CP015318_1_Mesorhizobium_amorphae_CCNWGS0123__complete_genome_BAC,6268270,33,63.43597,5.26461,3683.03571,587.50223,102.82415
1_CP000555_1_Methylibium_petroleiphilum_PM1__complete_genome_BAC,4044195,21,69.19775,5.19262,2343.75000,579.47020,101.41812
1_CP002026_1_Starkeya_novella_DSM_506__complete_genome_BAC,4765023,24,67.88473,5.03670,2678.57143,562.06089,98.37289
1_CP011125_1_Sandaracinus_amylolyticus_strain_DSM_53668__complete_genome_BAC,10327335,52,72.03592,5.03518,5803.57143,561.91917,98.34307
1_CP018820_1_Sphingomonas_koreensis_strain_ABOJV_chromosome__complete_genome_BAC,4508286,22,66.10914,4.87990,2455.35714,544.55446,95.31028
1_CP006644_1_Sphingomonas_sanxanigenens_NX02__complete_genome_BAC,6205897,28,66.78085,4.51184,3125.00000,503.50656,88.12156
1_CP017147_1_Bosea_vaviloviae_strain_Vaf18_chromosome__complete_genome_BAC,6373793,28,65.54623,4.39299,3125.00000,490.19608,85.80037
1_CP024201_1_Caulobacter_mirabilis_strain_FWC_38_chromosome__complete_genome_BAC,4577265,20,69.31718,4.36943,2232.14286,487.56704,85.34013
1_AM236080_1_Rhizobium_leguminosarum_bv__viciae_chromosome_complete_genome__strain_3841_BAC,5057142,22,61.09037,4.35028,2455.35714,485.43689,84.96628
1_AP014704_1_Methylobacterium_aquaticum_DNA__complete_genome__strain__MA_22A_BAC,5348274,23,71.10672,4.30046,2566.96429,479.86647,83.99306
1_CP019038_1_Massilia_putida_strain_6NM_7T_chromosome__complete_genome_BAC,6987670,30,65.55516,4.29328,3348.21429,479.08017,83.85284
1_CP001635_1_Variovorax_paradoxus_S110_chromosome_1__complete_sequence_BAC,5626353,24,67.63394,4.26564,2678.57143,476.00159,83.31312
1_CP018171_1_Mesorhizobium_oceanicum_strain_B7__complete_genome_BAC,5158483,22,65.19473,4.26482,2455.35714,475.88146,83.29709
1_CP014168_1_Sphingomonas_panacis_strain_DCY99__complete_genome_BAC,5003808,21,65.66391,4.19680,2343.75000,468.33185,81.96857
1_CP011270_1_Planctomyces_sp__SH_PL14__complete_genome_BAC,8442773,34,65.55931,4.02711,3794.64286,449.37880,78.65437
1_CP014301_1_Bosea_sp__PAMC_26642__complete_genome_BAC,5503156,22,65.15534,3.99770,2455.35714,446.15697,78.07993
1_CP011514_1_Mitsuaria_sp__7__complete_genome_BAC,5822419,22,68.34467,3.77850,2455.35714,421.69829,73.79859
1_CP001032_1_Opitutus_terrae_PB90_1__complete_genome_BAC,5957605,20,65.34114,3.35706,2232.14286,374.60199,65.56734
1_BA000012_4_Mesorhizobium_loti_MAFF303099_DNA__complete_genome_BAC,7036071,23,62.74706,3.26887,2566.96429,364.78985,63.84495
1_CP001848_1_Pirellula_staleyi_DSM_6068__complete_genome_BAC,6196199,20,57.46470,3.22778,2232.14286,360.23055,63.04251
1_CP006272_1_Actinoplanes_friuliensis_DSM_7358__complete_genome_BAC,9376071,30,70.35508,3.19963,3348.21429,357.05784,62.49270
1_CP001804_1_Haliangium_ochraceum_DSM_14365__complete_genome_BAC,9446314,30,69.48339,3.17584,3348.21429,354.40047,62.02803
1_CP000473_1_Candidatus_Solibacter_usitatus_Ellin6076_chromosome__complete_genome_BAC,9965640,28,61.90246,2.80965,3125.00000,313.54983,54.87591
1_CP012333_1_Labilithrix_luteola_strain_DSM_27648__complete_genome_BAC,12191466,34,66.14243,2.78884,3794.64286,311.21281,54.46929
1_CP001736_1_Kribbella_flavida_DSM_17836__complete_genome_BAC,7579488,21,70.56791,2.77063,2343.75000,309.18728,54.11382
1_CP016211_1_Minicystis_rosea_strain_DSM_24000__complete_genome_BAC,16040666,44,69.10234,2.74303,4910.71429,306.10825,53.57462
1_AM746676_1_Sorangium_cellulosum_'So_ce_56'_complete_genome_BAC,13033779,35,71.37574,2.68533,3906.25000,299.65753,52.44771
1_CP002000_1_Amycolatopsis_mediterranei_U32__complete_genome_BAC,10236715,23,71.29279,2.24681,2566.96429,250.73586,43.88296
1_CP011509_1_Archangium_gephyra_strain_DSM_2261__complete_genome_BAC,12489432,26,69.44877,2.08176,2901.78571,232.30879,40.65927
1_1_1_1,248956422,40,41.72429,0.16067,4464.28571,17.92998,3.13809
1_1_1_2,242193529,32,40.22856,0.13213,3571.42857,14.74451,2.58057
