species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_CP000494_1_Bradyrhizobium_sp__BTAi1__complete_genome_BAC,8264687,24,64.92015,2.90392,4379.56204,529.68440,16.64750
1_AP012206_1_Bradyrhizobium_japonicum_USDA_6_DNA__complete_genome_BAC,9207384,26,63.66558,2.82382,4744.52555,515.15752,16.18832
1_AM746676_1_Sorangium_cellulosum_'So_ce_56'_complete_genome_BAC,13033779,35,71.37574,2.68533,6386.86131,489.85304,15.39438
1_CP029425_1_Bradyrhizobium_ottawaense_strain_OO99_chromosome__complete_genome_BAC,8606328,23,63.82952,2.67245,4197.08029,487.49470,15.32055
1_CP011270_1_Planctomyces_sp__SH_PL14__complete_genome_BAC,8442773,20,65.55931,2.36889,3649.63504,432.15212,13.58030
1_CP012333_1_Labilithrix_luteola_strain_DSM_27648__complete_genome_BAC,12191466,26,66.14243,2.13264,4744.52555,389.04684,12.22592
1_CP011509_1_Archangium_gephyra_strain_DSM_2261__complete_genome_BAC,12489432,25,69.44877,2.00169,4562.04380,365.12341,11.47524
1_CP012159_1_Chondromyces_crocatus_strain_Cm_c5__complete_genome_BAC,11388132,21,68.70910,1.84403,3832.11679,336.37674,10.57137
1_CP016211_1_Minicystis_rosea_strain_DSM_24000__complete_genome_BAC,16040666,29,69.10234,1.80790,5291.97080,329.80780,10.36430
1_1_1_17,83257441,41,45.31519,0.49245,7481.75182,89.82954,2.82309
1_1_1_10,133797422,63,41.54154,0.47086,11496.35036,85.89191,2.69934
1_1_1_19,58617616,27,47.93865,0.46061,4927.00730,84.02315,2.64058
1_1_1_13,114364328,46,38.55031,0.40222,8394.16058,73.37108,2.30585
1_1_1_8,145138636,58,40.15660,0.39962,10583.94161,72.89637,2.29092
1_1_1_3,198295559,78,39.66567,0.39335,14233.57664,71.75317,2.25500
1_1_1_20,64444167,25,43.80472,0.38793,4562.04380,70.76540,2.22393
1_1_1_6,170805979,66,39.60525,0.38640,12043.79562,70.48571,2.21516
1_1_1_5,181538259,70,39.50632,0.38559,12773.72263,70.33833,2.21052
1_1_1_2,242193529,90,40.22856,0.37160,16423.35766,67.78640,2.13032
1_1_1_4,190214555,70,38.24347,0.36801,12773.72263,67.12954,2.10969
1_1_1_1,248956422,88,41.72429,0.35348,16058.39416,64.47926,2.02639
1_1_1_7,159345973,54,40.69748,0.33889,9854.01460,61.81814,1.94275
1_1_1_12,133275309,44,40.76639,0.33014,8029.19708,60.22282,1.89264
1_1_1_11,135086622,43,41.53981,0.31831,7846.71533,58.06574,1.82482
1_1_1_9,138394717,44,41.27617,0.31793,8029.19708,57.99547,1.82263
1_1_1_X,156040895,45,39.52503,0.28839,8211.67883,52.60574,1.65325
1_1_1_14,107043718,29,40.83421,0.27092,5291.97080,49.41974,1.55311
1_1_1_15,101991189,27,42.03484,0.26473,4927.00730,48.29017,1.51763
1_1_1_18,80373285,21,39.77558,0.26128,3832.11679,47.66120,1.49786
1_1_1_16,90338345,23,44.58444,0.25460,4197.08029,46.44307,1.45955
